"Budget","Metric","Design","Method_Gear-FMP","N","n","Effect","EPM","Power"
3500000,"DURATION","FMP.CWB","OB_HAL-BSAI",106,8,1.7,22.2,0.16
3500000,"RETAINED_CATCH","FMP.CWB","OB_HAL-BSAI",106,8,0.82,5.9,0.05
3500000,"SPECIES","FMP.CWB","OB_HAL-BSAI",106,8,-0.46,-18.6,0.16
3500000,"DURATION","FMP.CWB","OB_HAL-GOA",1246,71,0.69,19.9,0.61
3500000,"RETAINED_CATCH","FMP.CWB","OB_HAL-GOA",1246,71,1.02,17.3,0.32
3500000,"SPECIES","FMP.CWB","OB_HAL-GOA",1246,71,-0.21,-7.3,0.17
3500000,"DURATION","FMP.CWB","OB_POT-BSAI",255,15,1.79,51.2,0.72
3500000,"RETAINED_CATCH","FMP.CWB","OB_POT-BSAI",255,15,19.68,45.3,0.37
3500000,"SPECIES","FMP.CWB","OB_POT-BSAI",255,15,-0.05,-3.1,0.05
3500000,"DURATION","FMP.CWB","OB_POT-GOA",831,50,0.22,4.6,0.06
3500000,"RETAINED_CATCH","FMP.CWB","OB_POT-GOA",831,50,0.03,0.2,0.05
3500000,"SPECIES","FMP.CWB","OB_POT-GOA",831,50,-0.23,-9.9,0.2
3500000,"DURATION","FMP.CWB","OB_TRW-BSAI",21,3,0.12,4.3,0.05
3500000,"RETAINED_CATCH","FMP.CWB","OB_TRW-BSAI",21,3,-26.83,-39.7,0.09
3500000,"SPECIES","FMP.CWB","OB_TRW-BSAI",21,3,-0.38,-11.7,0.06
3500000,"DURATION","FMP.CWB","OB_TRW-GOA",368,28,0.23,12.3,0.15
3500000,"RETAINED_CATCH","FMP.CWB","OB_TRW-GOA",368,28,3.38,3.4,0.06
3500000,"SPECIES","FMP.CWB","OB_TRW-GOA",368,28,-0.49,-10.1,0.14
3500000,"DURATION","FMP.EQUAL","EM_HAL-BSAI",32,2,2.24,35.8,0.12
3500000,"RETAINED_CATCH","FMP.EQUAL","EM_HAL-BSAI",32,2,0.95,11.9,0.06
3500000,"SPECIES","FMP.EQUAL","EM_HAL-BSAI",32,2,-0.14,-6.1,0.05
3500000,"DURATION","FMP.EQUAL","EM_HAL-GOA",690,40,0.18,4.6,0.09
3500000,"RETAINED_CATCH","FMP.EQUAL","EM_HAL-GOA",690,40,-0.32,-4.3,0.06
3500000,"SPECIES","FMP.EQUAL","EM_HAL-GOA",690,40,-0.17,-5.5,0.09
3500000,"DURATION","FMP.EQUAL","EM_POT-BSAI",57,3,0.11,3.2,0.05
3500000,"RETAINED_CATCH","FMP.EQUAL","EM_POT-BSAI",57,3,-2.58,-5.9,0.05
3500000,"SPECIES","FMP.EQUAL","EM_POT-BSAI",57,3,0.22,13.3,0.06
3500000,"DURATION","FMP.EQUAL","EM_POT-GOA",296,17,-0.12,-2.5,0.05
3500000,"RETAINED_CATCH","FMP.EQUAL","EM_POT-GOA",296,17,-1.61,-10.1,0.07
3500000,"SPECIES","FMP.EQUAL","EM_POT-GOA",296,17,-0.4,-15.4,0.24
3500000,"DURATION","FMP.EQUAL","EM_TRW-GOA",768,45,-0.12,-7,0.06
3500000,"RETAINED_CATCH","FMP.EQUAL","EM_TRW-GOA",768,45,-4.39,-3.9,0.06
3500000,"SPECIES","FMP.EQUAL","EM_TRW-GOA",768,45,-0.16,-3.2,0.06
3500000,"DURATION","FMP.EQUAL","OB_HAL-BSAI",106,6,1.7,22.2,0.14
3500000,"RETAINED_CATCH","FMP.EQUAL","OB_HAL-BSAI",106,6,0.82,5.9,0.05
3500000,"SPECIES","FMP.EQUAL","OB_HAL-BSAI",106,6,-0.46,-18.6,0.13
3500000,"DURATION","FMP.EQUAL","OB_HAL-GOA",1246,73,0.69,19.9,0.62
3500000,"RETAINED_CATCH","FMP.EQUAL","OB_HAL-GOA",1246,73,1.02,17.3,0.33
3500000,"SPECIES","FMP.EQUAL","OB_HAL-GOA",1246,73,-0.21,-7.3,0.17
3500000,"DURATION","FMP.EQUAL","OB_POT-BSAI",255,15,1.79,51.2,0.72
3500000,"RETAINED_CATCH","FMP.EQUAL","OB_POT-BSAI",255,15,19.68,45.3,0.37
3500000,"SPECIES","FMP.EQUAL","OB_POT-BSAI",255,15,-0.05,-3.1,0.05
3500000,"DURATION","FMP.EQUAL","OB_POT-GOA",831,49,0.22,4.6,0.06
3500000,"RETAINED_CATCH","FMP.EQUAL","OB_POT-GOA",831,49,0.03,0.2,0.05
3500000,"SPECIES","FMP.EQUAL","OB_POT-GOA",831,49,-0.23,-9.9,0.19
3500000,"DURATION","FMP.EQUAL","OB_TRW-BSAI",21,1,0.12,4.3,0.05
3500000,"RETAINED_CATCH","FMP.EQUAL","OB_TRW-BSAI",21,1,-26.83,-39.7,0.06
3500000,"SPECIES","FMP.EQUAL","OB_TRW-BSAI",21,1,-0.38,-11.7,0.05
3500000,"DURATION","FMP.EQUAL","OB_TRW-GOA",368,22,0.23,12.3,0.13
3500000,"RETAINED_CATCH","FMP.EQUAL","OB_TRW-GOA",368,22,3.38,3.4,0.06
3500000,"SPECIES","FMP.EQUAL","OB_TRW-GOA",368,22,-0.49,-10.1,0.12
3500000,"DURATION","FMP.PROX","EM_HAL-BSAI",32,12,2.24,35.8,0.29
3500000,"RETAINED_CATCH","FMP.PROX","EM_HAL-BSAI",32,12,0.95,11.9,0.07
3500000,"SPECIES","FMP.PROX","EM_HAL-BSAI",32,12,-0.14,-6.1,0.06
3500000,"DURATION","FMP.PROX","EM_HAL-GOA",690,44,0.18,4.6,0.09
3500000,"RETAINED_CATCH","FMP.PROX","EM_HAL-GOA",690,44,-0.32,-4.3,0.06
3500000,"SPECIES","FMP.PROX","EM_HAL-GOA",690,44,-0.17,-5.5,0.1
3500000,"DURATION","FMP.PROX","EM_POT-BSAI",57,11,0.11,3.2,0.05
3500000,"RETAINED_CATCH","FMP.PROX","EM_POT-BSAI",57,11,-2.58,-5.9,0.06
3500000,"SPECIES","FMP.PROX","EM_POT-BSAI",57,11,0.22,13.3,0.09
3500000,"DURATION","FMP.PROX","EM_POT-GOA",296,37,-0.12,-2.5,0.05
3500000,"RETAINED_CATCH","FMP.PROX","EM_POT-GOA",296,37,-1.61,-10.1,0.09
3500000,"SPECIES","FMP.PROX","EM_POT-GOA",296,37,-0.4,-15.4,0.43
3500000,"DURATION","FMP.PROX","EM_TRW-GOA",768,15,-0.12,-7,0.05
3500000,"RETAINED_CATCH","FMP.PROX","EM_TRW-GOA",768,15,-4.39,-3.9,0.05
3500000,"SPECIES","FMP.PROX","EM_TRW-GOA",768,15,-0.16,-3.2,0.05
3500000,"DURATION","FMP.PROX","OB_HAL-BSAI",106,25,1.7,22.2,0.36
3500000,"RETAINED_CATCH","FMP.PROX","OB_HAL-BSAI",106,25,0.82,5.9,0.06
3500000,"SPECIES","FMP.PROX","OB_HAL-BSAI",106,25,-0.46,-18.6,0.36
3500000,"DURATION","FMP.PROX","OB_HAL-GOA",1246,48,0.69,19.9,0.46
3500000,"RETAINED_CATCH","FMP.PROX","OB_HAL-GOA",1246,48,1.02,17.3,0.24
3500000,"SPECIES","FMP.PROX","OB_HAL-GOA",1246,48,-0.21,-7.3,0.13
3500000,"DURATION","FMP.PROX","OB_POT-BSAI",255,18,1.79,51.2,0.77
